Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.3816381,0.3180423,0.2862656,0.2477795,0.3028576,0.2320404,0.2519143,0.2148919,0.2728373,0.3660275,0.2784536
0.3945154,0.3083684,0.2874579,0.2522328,0.3039863,0.2316355,0.2438174,0.2094381,0.2647374,0.3559188,0.2842053
0.4024147,0.3093636,0.2999558,0.2594337,0.2893867,0.2194273,0.2479559,0.2132774,0.2680318,0.368279,0.2903965
0.4051429,0.2905748,0.2919876,0.2478937,0.2816298,0.2345293,0.2614751,0.2218732,0.2582413,0.3732096,0.2692354
0.3858339,0.3161075,0.2848468,0.2484637,0.2977291,0.2409247,0.2644346,0.2159481,0.2598127,0.3575352,0.278571
0.3980181,0.2953649,0.2827958,0.2499711,0.2978776,0.2237867,0.2523403,0.2151489,0.2582211,0.3663926,0.2754091
0.3897482,0.2982188,0.2837059,0.2513506,0.3173072,0.2272376,0.2550862,0.2157615,0.2703945,0.3651277,0.2782813
0.3997131,0.2984053,0.3152511,0.2527623,0.325952,0.2268774,0.2621233,0.2219089,0.262516,0.3744833,0.2927187
0.3913149,0.3002632,0.2956448,0.2386243,0.3227509,0.2242419,0.2619872,0.2300454,0.2564519,0.3896966,0.2798882
0.3941322,0.2862383,0.288746,0.247766,0.3255243,0.2392171,0.2641183,0.2186952,0.2581206,0.4074593,0.2741316
0.3813739,0.2913137,0.2821493,0.2416224,0.3014346,0.2300759,0.2489718,0.2309007,0.2548774,0.3899289,0.2778793
0.3866438,0.2955714,0.2995532,0.2327495,0.2913163,0.2383347,0.2583189,0.2312621,0.2646946,0.3794284,0.2876098
0.3758926,0.3111183,0.2910422,0.250389,0.2994523,0.2396226,0.2634628,0.2362599,0.2653784,0.4099737,0.2691055
0.3830501,0.2997949,0.3032372,0.2328237,0.3018174,0.2307946,0.2597313,0.2256889,0.2674592,0.3980871,0.27971
0.3982892,0.2867892,0.2984069,0.2390592,0.3129332,0.2224735,0.2606405,0.2247692,0.2755939,0.3885164,0.3042322
0.3803774,0.3070107,0.2878051,0.2433619,0.3135671,0.2209832,0.2632851,0.2292264,0.2709625,0.4103178,0.3035491
0.3630351,0.3063717,0.2786998,0.2251364,0.3118055,0.2191511,0.2655104,0.2249988,0.2698897,0.3822626,0.3309771
0.37601,0.3268202,0.2866615,0.2377779,0.3309436,0.2166924,0.2692492,0.228079,0.26639,0.3815078,0.3336841
0.3821049,0.3222233,0.2877908,0.2377243,0.3083466,0.2138259,0.2675639,0.2173319,0.2734403,0.3793726,0.3266341
0.3942329,0.3114462,0.2819648,0.2378152,0.3246572,0.2174582,0.2777399,0.2128797,0.2733486,0.3689123,0.3123022
0.3891822,0.3035496,0.283255,0.2319917,0.3208371,0.2208305,0.3123014,0.2250458,0.2670222,0.3643892,0.298847
0.4067315,0.3079198,0.2854356,0.2332078,0.3338781,0.2233347,0.2932643,0.2123249,0.2607572,0.3573688,0.2934311
0.4200411,0.3081408,0.2901497,0.2433481,0.3326866,0.2206808,0.2868436,0.213581,0.2595296,0.366895,0.2897642
0.4213518,0.3168959,0.2996372,0.2390515,0.3329984,0.2252278,0.3026935,0.208008,0.2450362,0.3671977,0.2833963
0.4247276,0.3036284,0.2995245,0.2487991,0.3340989,0.2329345,0.2897927,0.2027292,0.2498126,0.3555022,0.300557
0.4155823,0.3072005,0.2837286,0.2528746,0.2967261,0.221874,0.2898915,0.2062643,0.2683032,0.364236,0.290354
0.4127234,0.2955041,0.2840759,0.267471,0.309947,0.222355,0.2991063,0.2151667,0.2565321,0.3531417,0.2899536
0.4256249,0.317465,0.2967829,0.2550859,0.2942717,0.2192457,0.3083184,0.2227555,0.2494306,0.3697449,0.2812522
0.4132757,0.2973826,0.3087595,0.2577711,0.2850333,0.2290038,0.2996941,0.2075169,0.2527914,0.3594258,0.2669123
0.4344172,0.2977979,0.2855341,0.2481287,0.2682566,0.2253868,0.3073167,0.2231676,0.2533679,0.3659652,0.2713813
0.4000658,0.2987237,0.2968793,0.2404479,0.3122162,0.2556562,0.3058819,0.2172322,0.2535645,0.3684206,0.3017821
0.4193084,0.2873962,0.2842944,0.2379694,0.280988,0.2528622,0.2963774,0.2138082,0.2561063,0.3619302,0.2971097
0.4264361,0.286713,0.2826136,0.235563,0.3153346,0.2442039,0.3051933,0.2034003,0.2567376,0.3679776,0.3024134
0.4338258,0.3039607,0.2901143,0.2411849,0.3025516,0.250341,0.3081423,0.2160761,0.2566302,0.365313,0.3053924
0.4334228,0.2958274,0.2994226,0.2472855,0.2890007,0.2544843,0.3123668,0.2097199,0.2597152,0.3863893,0.2955159
0.4684165,0.2724676,0.2905287,0.2581234,0.2908756,0.2363084,0.3090958,0.2182245,0.2575261,0.4131595,0.2861595
0.4760981,0.2784644,0.2923886,0.2641173,0.2914846,0.246837,0.3071365,0.2285682,0.2523254,0.4099866,0.2942056
0.4817518,0.2833623,0.30189,0.2519992,0.292136,0.2452294,0.3088034,0.2173391,0.2560057,0.4020465,0.2769538
0.4674131,0.2863144,0.3111248,0.24964,0.2765565,0.2427417,0.3166855,0.2380481,0.2610047,0.4028939,0.2851267
0.428388,0.3050833,0.2878798,0.2344918,0.2856409,0.2278157,0.31856,0.2293101,0.2618952,0.4038752,0.2719067
0.4474533,0.3141688,0.2856468,0.2488689,0.2825753,0.2276432,0.3457217,0.2435123,0.2682667,0.3992815,0.2881197
0.4543147,0.3014766,0.3004423,0.2318795,0.2897208,0.2279471,0.3374055,0.2547664,0.2764004,0.3828652,0.2854856
0.4408275,0.2971198,0.3026891,0.2195122,0.2790176,0.2349769,0.3310947,0.2385801,0.2797605,0.4164904,0.2886867
0.4066229,0.3024507,0.3028635,0.2471909,0.2872409,0.2373256,0.3375962,0.2442899,0.280497,0.3930529,0.3011781
0.4143704,0.2944272,0.2928354,0.2421655,0.2811528,0.2514054,0.3327693,0.2413071,0.2780994,0.3766779,0.3010521
0.4068266,0.3104535,0.293169,0.2320893,0.283814,0.2522339,0.3272494,0.2529809,0.2801267,0.364508,0.2957898
0.4310205,0.3139941,0.2995305,0.2403374,0.3087763,0.2442929,0.3400845,0.2414818,0.289125,0.364586,0.2941496
0.4412125,0.3074335,0.296717,0.2513537,0.3104923,0.2433576,0.3240565,0.2495489,0.2888441,0.3709997,0.2922297
0.4447386,0.3003855,0.2972275,0.2553701,0.2988661,0.2633826,0.3341927,0.2642582,0.2900568,0.38337,0.3187563
0.4393829,0.3175983,0.2997407,0.2662773,0.2817057,0.2585544,0.3527935,0.2531546,0.2743012,0.3843303,0.317138
0.4513626,0.3136167,0.2954607,0.2550785,0.282654,0.2414262,0.3414661,0.2344778,0.2873367,0.3930329,0.3133198
0.4574569,0.3246462,0.2984679,0.2653101,0.287597,0.2402394,0.3547768,0.239797,0.2833096,0.391036,0.3024609
0.4496543,0.3204764,0.3053149,0.2661951,0.2953974,0.2441051,0.3455054,0.2484426,0.2733767,0.4162984,0.3144902
0.4417365,0.3138581,0.3080647,0.2892839,0.2826243,0.2448439,0.3449835,0.2392643,0.2726274,0.4060143,0.3113181
0.4499032,0.2983071,0.3080967,0.2873195,0.2942609,0.2651102,0.3386559,0.2404838,0.2728125,0.403975,0.338372
