Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.3796568,0.3435801,0.3377947,0.2555019,0.3251616
0.3840696,0.348511,0.3270381,0.2631015,0.326518
0.3806073,0.3286362,0.331884,0.2665232,0.3279968
0.3781436,0.3591398,0.3087299,0.2642281,0.3278536
0.3859858,0.3569955,0.2998019,0.2679661,0.3204441
0.3782025,0.3567247,0.3295667,0.2753597,0.330564
0.3755718,0.3592438,0.3215111,0.2682312,0.326111
0.378724,0.3618691,0.3291424,0.2520341,0.3245358
0.3891687,0.3571837,0.3036719,0.2673397,0.3343156
0.3901148,0.3416027,0.3173988,0.2768884,0.3200095
0.3913841,0.3551165,0.3351678,0.2688867,0.3285985
0.3822749,0.3516239,0.3257397,0.2748259,0.3352268
0.3680408,0.3391668,0.33553,0.2786833,0.325158
0.390556,0.3605126,0.3317916,0.286047,0.3357782
0.3894359,0.3436312,0.330966,0.2608805,0.334157
0.398587,0.3219612,0.3195394,0.2602638,0.3287346
0.3892385,0.3600733,0.3316725,0.2619117,0.3194659
0.3738442,0.357077,0.3350673,0.2439684,0.3372329
0.3744896,0.3578514,0.3232053,0.2678486,0.3307031
0.4040142,0.3491235,0.3123359,0.2484627,0.3258056
0.4118913,0.3381038,0.3083648,0.2605142,0.3283723
0.4002396,0.3393277,0.3228927,0.2722841,0.3204508
0.4044338,0.3555952,0.3391237,0.265111,0.3234853
0.3956647,0.3450815,0.3253363,0.2613719,0.3203787
0.3895272,0.3465365,0.3218341,0.2604459,0.3341193
0.383586,0.3522432,0.3174815,0.2712999,0.3371364
0.3854839,0.3576836,0.3225535,0.2902021,0.3393013
0.3866138,0.3305429,0.3283082,0.2780491,0.3294497
0.3872604,0.33596,0.3270802,0.2854767,0.3287767
0.3669428,0.3535896,0.3063279,0.2752429,0.3305652
0.3866792,0.3413185,0.3249449,0.2910411,0.3384265
0.3742358,0.331322,0.3356932,0.2825324,0.3417411
0.3788925,0.3400846,0.3298642,0.2735451,0.3266092
0.3937587,0.3416128,0.3468177,0.2537072,0.3271839
0.3770966,0.3289689,0.3385163,0.282397,0.3301031
0.39802,0.344042,0.3155317,0.2790699,0.3303179
0.4022611,0.3381637,0.3280463,0.2604949,0.335971
0.4013307,0.3314812,0.3355708,0.251347,0.3234273
0.4236597,0.3419815,0.3152193,0.2557522,0.3220553
0.4171132,0.3439894,0.3098427,0.253186,0.3222024
0.4210934,0.3481037,0.3148197,0.259408,0.3298627
0.396475,0.3454476,0.3304254,0.2654107,0.3339414
0.3944884,0.3208373,0.324602,0.2642075,0.3173799
0.4063945,0.3456881,0.3008536,0.2808771,0.3287563
0.4134463,0.3317294,0.3157144,0.2795937,0.3201998
0.3974652,0.3455887,0.3377821,0.2647391,0.3273155
0.3797656,0.3410637,0.3327112,0.2710548,0.3358038
0.4069966,0.352536,0.3071835,0.2772053,0.3383099
0.4068035,0.347612,0.3042051,0.2687633,0.3318236
0.3997884,0.3528706,0.3013568,0.2890921,0.3289579
0.4139091,0.3550493,0.3065966,0.2510463,0.3351585
0.4010043,0.3580974,0.3146678,0.2777545,0.3224688
0.3876283,0.3626298,0.3178762,0.2726183,0.3210824
0.3743576,0.3407238,0.3039312,0.2679745,0.3280315
0.3906063,0.3480581,0.3055722,0.2683038,0.3232095
0.4208339,0.3519655,0.3307851,0.2720966,0.3248374
0.4079487,0.3385213,0.3250991,0.2686979,0.3221664
0.4013251,0.3504374,0.3119768,0.2837236,0.3338752
0.4134389,0.3454538,0.3259031,0.2892721,0.3257165
0.4324807,0.351983,0.3129013,0.2822623,0.3306493
0.4138366,0.345772,0.305948,0.275436,0.3238598
0.4298622,0.3516273,0.3032158,0.2665974,0.3345351
0.4209366,0.3378439,0.3189257,0.2775026,0.3239047
0.3920306,0.3416858,0.3175173,0.2659668,0.3388907
0.4238933,0.3564587,0.3350519,0.2725112,0.3342043
0.4124641,0.3664693,0.3326014,0.2809024,0.3324316
0.4181271,0.3485425,0.3336949,0.2689534,0.3270403
0.4233553,0.3562589,0.3317192,0.2695301,0.3281657
0.4121735,0.3547251,0.3312635,0.2645173,0.3376633
0.4177735,0.3470184,0.3144689,0.2560588,0.3270479
0.409733,0.3344089,0.3009918,0.2683317,0.3373397
0.4090631,0.3450226,0.3062739,0.2630166,0.3309331
0.414043,0.3437352,0.2975859,0.2459874,0.332065
0.4136636,0.3500797,0.324257,0.2622785,0.3383997
0.4079229,0.3370649,0.3059509,0.2822799,0.3440979
0.4073145,0.3437059,0.2988219,0.2779061,0.3296374
0.4054253,0.3478743,0.2886823,0.2686999,0.3286866
0.4215082,0.3632618,0.2695262,0.2657775,0.3355925
0.4173062,0.3570353,0.2946922,0.2702055,0.3302153
0.4350181,0.3494959,0.2898563,0.261409,0.3321153
0.4424931,0.3453266,0.2962814,0.264305,0.3419711
0.4336525,0.3456839,0.2939298,0.2682602,0.3353085
0.4168031,0.3524581,0.2932407,0.2579908,0.3346865
0.4159386,0.3519953,0.3098878,0.2656409,0.3434555
0.4100503,0.3531042,0.3082394,0.2676044,0.3449918
0.4162732,0.351137,0.300297,0.2763279,0.3497923
0.4071875,0.3603814,0.2985943,0.2722237,0.3398941
0.4081405,0.3453198,0.2939899,0.2758446,0.3441155
0.3992097,0.3363606,0.3059773,0.2803104,0.3244437
0.3762649,0.3512825,0.3151302,0.2846933,0.3286891
0.3849548,0.3512806,0.3150322,0.2742728,0.3339928
0.3965786,0.339411,0.3289202,0.2878828,0.3321017
0.4066673,0.3508804,0.3234556,0.2851188,0.341138
0.3851214,0.3463851,0.3161902,0.281861,0.3356249
0.3867215,0.3498469,0.3279833,0.2710393,0.3361057
0.3939886,0.3491331,0.3392892,0.2578814,0.3439079
0.3704107,0.3593252,0.3199156,0.2626108,0.348026
0.393079,0.3452045,0.3084111,0.2626181,0.341005
0.4053013,0.3521186,0.3103818,0.26265,0.3412055
0.3824675,0.3657531,0.3305641,0.2692318,0.3589231
0.3876459,0.3550694,0.339438,0.2739696,0.3382503
0.3956766,0.3459927,0.3385854,0.2758209,0.3379369
0.4043838,0.3563424,0.3526868,0.2654144,0.3335381
0.4042908,0.345197,0.3564105,0.2588766,0.3423461
0.4040455,0.3551518,0.377431,0.2488725,0.3499777
0.4233541,0.3508013,0.3529313,0.2508608,0.3437412
0.4130313,0.3430758,0.3411218,0.2546551,0.3294097
0.3959523,0.3627865,0.3166082,0.257764,0.339247
0.3819854,0.3693107,0.3352662,0.2687861,0.3414491
0.4108869,0.3500238,0.3595281,0.2754468,0.3445051
0.3997066,0.3644899,0.3690454,0.2629032,0.3435764
0.4314071,0.3583597,0.3586335,0.2761781,0.3374617
0.4188877,0.3558357,0.3324491,0.2553073,0.3315489
0.4248828,0.3580543,0.3593765,0.2660403,0.3348209
0.4061816,0.356416,0.3686468,0.2560708,0.3388828
0.3995051,0.3537985,0.3574964,0.2563901,0.3294838
0.3860652,0.3612983,0.3455654,0.2516962,0.3445348
0.3766901,0.3586028,0.3461075,0.2636085,0.3376661
0.4099826,0.3561096,0.3359306,0.2733827,0.3369696
0.3951302,0.3692966,0.3270063,0.2834461,0.3314732
0.3996113,0.3470416,0.3368561,0.2836604,0.3374858
0.3888392,0.3513724,0.3458421,0.2908224,0.3516309
