Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.3228572,0.5481712,0.8445867,0.5439202,0.6712707
0.3354175,0.548887,0.8750302,0.5443971,0.6817063
0.3149149,0.5567877,0.8892567,0.5563161,0.6981323
0.3204138,0.579204,0.8814985,0.5734794,0.6908683
0.3348872,0.5834241,0.8760667,0.5640264,0.6851596
0.3164487,0.5889714,0.864727,0.5459319,0.6693079
0.317867,0.5969547,0.8623351,0.5520017,0.6575442
0.3119237,0.5932819,0.8657284,0.5612249,0.6374496
0.3176331,0.6101391,0.8995056,0.5508944,0.6444038
0.3275662,0.6008526,0.884388,0.5414116,0.65522
0.3396169,0.6096953,0.8757391,0.5208516,0.6648102
0.3246762,0.5928406,0.8457824,0.5246582,0.7103677
0.3262533,0.5783824,0.8254696,0.5315277,0.689135
0.3283134,0.6092263,0.8035969,0.5367407,0.6860077
0.3179395,0.6238004,0.7564426,0.5403396,0.6709123
0.3144177,0.6240497,0.7438897,0.55567,0.6611987
0.3245457,0.6307182,0.7043182,0.5582613,0.6647949
0.3298187,0.6374207,0.6740094,0.5610671,0.6996393
0.3271322,0.6403094,0.6927955,0.5661777,0.6844732
0.3233488,0.6347158,0.7126335,0.6020111,0.6789082
0.3242629,0.6285514,0.699542,0.6500988,0.6772012
0.3121064,0.6501433,0.7303543,0.6559879,0.6480045
0.3262407,0.6624036,0.7325597,0.62277,0.6422524
0.3183886,0.6686317,0.7541955,0.6191176,0.6403208
0.3158004,0.6605975,0.7646327,0.6197668,0.6314774
0.3217936,0.6886921,0.7649139,0.6374877,0.6328714
0.3248028,0.7172322,0.7591873,0.6490033,0.6420447
0.3276771,0.7009137,0.7168629,0.642768,0.6354825
0.3119512,0.689625,0.734457,0.6456017,0.6107971
0.3141142,0.7106892,0.7032803,0.6606262,0.5920267
0.31393,0.7156196,0.7039192,0.6793534,0.5972883
0.3308546,0.7349076,0.7193279,0.6759217,0.6126171
0.3181093,0.7478659,0.7026998,0.7056112,0.6200432
0.3197292,0.7511021,0.7226921,0.6986935,0.6159801
0.3101705,0.7284999,0.7688905,0.7308275,0.621457
0.315634,0.7520903,0.777163,0.7346221,0.6368025
0.3208784,0.7489058,0.750443,0.7607725,0.624206
0.3182385,0.7433667,0.7224933,0.7308725,0.6411975
0.3198077,0.7354305,0.7154367,0.7657783,0.6489007
0.3294667,0.7355734,0.7178106,0.7875473,0.6544609
0.331133,0.7583124,0.7460611,0.791562,0.6675386
0.3370273,0.7721621,0.7674648,0.777552,0.6759918
0.332993,0.7459869,0.7878833,0.7755011,0.6822801
0.3384992,0.7378474,0.7882769,0.7670514,0.7043046
0.3318759,0.7464433,0.7537985,0.7743112,0.7070938
0.3505484,0.7485586,0.7152245,0.7747003,0.6821762
0.3471689,0.7202929,0.6842072,0.7959272,0.6908036
0.3408606,0.7241229,0.7056189,0.7979429,0.6826174
0.3374962,0.7123154,0.7246409,0.7818806,0.6716537
0.338605,0.72926,0.6888941,0.7561516,0.6554252
0.3330306,0.740988,0.7267507,0.7410142,0.6795068
0.3208062,0.7376817,0.7253862,0.7606194,0.6948975
0.3360143,0.7479376,0.7261626,0.7528784,0.6825255
0.344069,0.7430631,0.7121198,0.7774183,0.6685669
0.3476732,0.751539,0.7000384,0.760254,0.6892725
0.3284697,0.7340677,0.7051344,0.7787088,0.6975057
0.3291911,0.7439573,0.7126705,0.7823836,0.6957889
0.3321823,0.7455343,0.6882463,0.7649389,0.6961472
0.3403786,0.7617372,0.7187098,0.757773,0.7107207
0.3344639,0.7523702,0.6877942,0.7478446,0.6906112
0.3260711,0.7697967,0.655201,0.7274117,0.6851837
0.3440092,0.7499952,0.6463632,0.729215,0.6867192
0.3414474,0.7396997,0.6825881,0.7394344,0.6695342
0.3348162,0.7230543,0.7144246,0.7446371,0.6465822
0.3330966,0.7273902,0.7263761,0.7525002,0.694743
0.3265426,0.7411394,0.7544856,0.7347575,0.6800644
0.3301299,0.7318621,0.7675301,0.7458481,0.6910321
0.3362459,0.7381806,0.7861776,0.7405084,0.6863433
0.3313372,0.7437742,0.7536821,0.7537209,0.6908338
0.327285,0.7255805,0.7540724,0.7687587,0.6817495
0.3315327,0.7347724,0.7288815,0.7386717,0.7040692
0.3459994,0.7378161,0.701558,0.7536328,0.6981326
0.3411823,0.7333928,0.7311667,0.7139633,0.7052363
0.332454,0.7127942,0.7467999,0.6818406,0.7050322
0.3303325,0.7229494,0.7231553,0.6907378,0.7209874
0.3503193,0.7373478,0.7151921,0.6977348,0.7027081
0.340313,0.7327085,0.7267377,0.7203144,0.678299
0.3273545,0.7497767,0.7581973,0.7171602,0.689601
0.3283014,0.731168,0.7212533,0.7184457,0.6840445
0.3295903,0.6922544,0.7163143,0.6991044,0.6935329
0.33226,0.7051741,0.7096879,0.7091532,0.6978863
0.3273273,0.7376456,0.7198355,0.7139406,0.681972
0.3243625,0.7417841,0.7712456,0.7216161,0.6602699
0.32027,0.7469783,0.7710033,0.7221901,0.6568755
0.3302542,0.7153442,0.7847815,0.7491025,0.6635482
0.3468053,0.7321547,0.8080214,0.7367366,0.6572955
0.3401588,0.7454549,0.7593156,0.7220182,0.6337305
0.3513579,0.7593257,0.7244236,0.7092238,0.6233382
0.3476459,0.7518811,0.750986,0.7046698,0.6209639
0.3755874,0.7367545,0.7515312,0.7306742,0.6307392
0.3365089,0.7391034,0.7713316,0.7452438,0.6407775
0.3293207,0.7458724,0.7599323,0.7523168,0.6602189
0.3426073,0.7179231,0.7732461,0.762289,0.6613935
0.3594578,0.7361248,0.7582396,0.7689793,0.6642662
0.3455021,0.7559244,0.7577814,0.7399468,0.6760526
0.3505552,0.7566121,0.7386311,0.7390646,0.6878086
0.3447075,0.7487333,0.7576384,0.7272405,0.6911656
0.3304096,0.7537057,0.742656,0.7219364,0.6949235
0.3336327,0.7775147,0.764712,0.7020232,0.6702749
0.3248263,0.7976143,0.7768059,0.7332509,0.6966207
0.3465487,0.8213188,0.7340956,0.7483439,0.7153263
0.3423532,0.792584,0.7334244,0.7435492,0.7087793
0.3270485,0.8124983,0.6936855,0.7468635,0.7162806
0.3433691,0.8166617,0.6868988,0.7128536,0.6871973
0.3555044,0.820925,0.7058266,0.6984745,0.6643415
0.3447056,0.8326271,0.7030228,0.715661,0.6433032
0.3287869,0.8591545,0.6915259,0.7109053,0.6259164
0.3354723,0.8434762,0.6771954,0.7168553,0.6420821
0.3392752,0.8497657,0.6807157,0.7254444,0.6565812
0.3408456,0.8510553,0.6908816,0.7241896,0.6424599
0.3248102,0.8611183,0.6787018,0.7432171,0.6281901
0.3268292,0.8674286,0.6740405,0.7464868,0.6381357
0.3290483,0.8749026,0.6711005,0.7248954,0.6413715
0.3291147,0.8785393,0.6692928,0.7186897,0.6464111
0.3303044,0.8799648,0.7124275,0.7244051,0.6590563
0.3159581,0.8827669,0.712936,0.7602851,0.6454896
0.3202032,0.8703947,0.6865995,0.7562515,0.6290159
0.3261407,0.8750423,0.6790408,0.7484956,0.6457819
0.3160841,0.8837389,0.6845647,0.749636,0.6426597
0.3149239,0.8848244,0.6776742,0.7746416,0.6565462
0.3079762,0.8818729,0.6716428,0.7789676,0.6838576
0.3119244,0.8804215,0.6430936,0.7647952,0.6809477
0.3050712,0.8619581,0.6434625,0.7862135,0.7202727
0.3161257,0.8741869,0.6450871,0.7878288,0.7425274
0.3133834,0.8663532,0.6453115,0.7985654,0.737232
0.3161229,0.8870233,0.6671486,0.7968516,0.7510266
0.3315261,0.8907861,0.6451215,0.8020216,0.7602593
0.338589,0.8839754,0.6381626,0.7913011,0.7585073
0.3311727,0.8962625,0.6182815,0.7916995,0.7743266
0.3188092,0.8919104,0.6066747,0.7863838,0.7680806
0.3151449,0.9119455,0.5835793,0.8045062,0.7911128
0.3251117,0.9055252,0.5968188,0.7867088,0.7863877
0.31855,0.9229068,0.6057176,0.7696374,0.7672535
0.310711,0.9198416,0.624301,0.7628692,0.7792549
0.3117539,0.9150336,0.625247,0.7476792,0.7635806
0.2945616,0.9207516,0.6064649,0.7761549,0.7394335
0.2968988,0.9151258,0.6215501,0.7952355,0.7277168
0.297997,0.9251679,0.6215169,0.7844214,0.7261808
0.3106626,0.918269,0.6030759,0.7736429,0.7544631
0.3001968,0.8964959,0.6001573,0.7607835,0.7719625
0.3085352,0.9131981,0.6334219,0.7629815,0.7572773
0.3094802,0.904793,0.627661,0.7703565,0.7620339
0.3147559,0.8993014,0.6256216,0.7662939,0.7684979
