Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.4415597,0.7741424,0.8195825,1.6075999,1.1791413
0.4340524,0.7447105,0.8202479,1.6051203,1.1975687
0.4230569,0.7375124,0.8083757,1.599667,1.1853145
0.4128814,0.7465625,0.8153476,1.5820534,1.1812543
0.4226518,0.7246069,0.8230285,1.5652235,1.1823857
0.4386047,0.7258321,0.8065639,1.5486336,1.1903853
0.4453971,0.7203431,0.805633,1.5322664,1.1774969
0.4395619,0.7338322,0.8023996,1.5431539,1.1762924
0.4442128,0.7308972,0.8152955,1.5296055,1.2074552
0.4531044,0.7369815,0.8208407,1.5332574,1.2035364
0.462683,0.7424486,0.8551413,1.5409237,1.1898564
0.4488006,0.7432174,0.8442336,1.5333244,1.2034949
0.4665397,0.7435896,0.8368253,1.536718,1.225204
0.4735202,0.7599242,0.864505,1.557874,1.2311202
0.4626705,0.7465946,0.8685908,1.5767596,1.2363167
0.4691739,0.7315638,0.8605494,1.5771705,1.2469724
0.4764273,0.7373254,0.8584385,1.581615,1.2361548
0.4786884,0.7358639,0.8660319,1.572102,1.2334836
0.4636385,0.7375708,0.8582951,1.5767884,1.2377992
0.4681347,0.7619159,0.8674659,1.5585413,1.2703229
0.4552899,0.7673402,0.8723151,1.5451348,1.2938197
0.4446271,0.7704521,0.8934991,1.5484593,1.2996109
0.4465685,0.7978201,0.8807653,1.5617869,1.2884219
0.4501607,0.7848678,0.8864037,1.5641274,1.2712445
0.4346699,0.7725922,0.899134,1.5479565,1.2704557
0.4344552,0.7727678,0.9006878,1.5384402,1.2921239
0.4441993,0.7658503,0.911882,1.5391161,1.2749876
0.4462679,0.770836,0.9148697,1.5493685,1.2709606
0.4434491,0.7903174,0.9238709,1.5571632,1.2716547
0.4426925,0.8112653,0.9292243,1.5554743,1.2768285
0.4453013,0.8262609,0.9297173,1.5479211,1.2915609
0.4487866,0.8308906,0.9174356,1.5641011,1.2818761
0.4365501,0.8261977,0.9213799,1.5994169,1.2507789
0.4309386,0.8140826,0.9585037,1.6117309,1.2554775
0.4350709,0.8190508,0.9357111,1.6135948,1.2368908
0.4226767,0.8199468,0.9420712,1.6180437,1.2157714
0.4278922,0.8200203,0.9536003,1.6061742,1.2084199
0.42149,0.7968943,0.9540018,1.5972507,1.1842984
0.4226301,0.8389906,0.9727249,1.5992199,1.1696343
0.4271736,0.8551347,0.9670059,1.6354415,1.1601756
0.4496015,0.8396713,0.9784628,1.6462119,1.1655874
0.4666647,0.8256202,0.9755722,1.6483834,1.1548506
0.4845466,0.8398349,0.9567418,1.6560898,1.1588937
0.4801313,0.8437857,0.9447894,1.6514946,1.137203
0.4854948,0.8429865,0.9384197,1.6554018,1.1334139
0.481739,0.8431572,0.9244088,1.6532176,1.1457996
0.4814515,0.8252155,0.9215301,1.6254332,1.1396881
0.474982,0.8048931,0.9316342,1.6055623,1.1342713
0.471785,0.7890273,0.9585598,1.5981205,1.106156
0.4471278,0.7942809,0.9579504,1.5917366,1.1024854
0.4343233,0.8065182,0.9776405,1.6267927,1.1032603
0.4313387,0.8127404,0.9631402,1.6362932,1.099156
0.4430752,0.7949129,0.9458436,1.6701124,1.1284161
0.4491316,0.8139908,0.9459574,1.7009239,1.1356
0.4378637,0.8168716,0.9510988,1.736159,1.1362032
0.4464982,0.8149412,0.9344174,1.7262175,1.1265973
0.4418751,0.8239436,0.9245759,1.7098126,1.1170689
0.4404373,0.8210222,0.899131,1.6978937,1.096961
0.4506153,0.8181064,0.8814006,1.6802565,1.099641
0.4657359,0.8146305,0.8941543,1.6676123,1.0904535
0.4746398,0.8241256,0.9094,1.6369721,1.0913947
0.4704643,0.8160657,0.9052692,1.6224946,1.1107645
0.4623662,0.7956939,0.8829983,1.6371486,1.0981134
0.4648826,0.7889233,0.8758644,1.6507604,1.1001886
0.4689889,0.7776242,0.8693907,1.6683002,1.1136857
0.472528,0.7805276,0.8962414,1.6618279,1.1364557
0.4836353,0.785379,0.8959368,1.6253761,1.1497767
0.4881116,0.7976112,0.8855229,1.6162968,1.1594678
0.4888869,0.7969112,0.8978331,1.6349238,1.1539379
0.4946167,0.8000765,0.8901477,1.6482736,1.1559089
0.5061455,0.8259336,0.8890767,1.6455904,1.1426041
0.5027993,0.8301295,0.890371,1.6472101,1.1164374
0.4928701,0.8430155,0.8822815,1.6214503,1.0999733
0.4893175,0.8640041,0.8953593,1.6047411,1.0922786
0.4851125,0.8698272,0.9198751,1.6042844,1.0890862
0.4855735,0.8525488,0.931528,1.5846384,1.0848099
0.4919068,0.8537681,0.9381331,1.577188,1.0747197
0.4934537,0.8558562,0.9474528,1.555436,1.0437645
0.4919668,0.8607916,0.9460697,1.548997,1.0619838
0.4979146,0.8511542,0.958614,1.5394127,1.070183
0.4922412,0.8494979,0.9508529,1.5322882,1.0557379
0.4953239,0.8430654,0.9773647,1.5153234,1.0452346
0.4999288,0.8410069,0.9902948,1.5131615,1.0423089
0.5112835,0.8368387,0.9888761,1.5047765,1.042834
0.4959751,0.8580282,1.0154284,1.4817444,1.0607808
0.4842748,0.861941,1.0429014,1.4812937,1.0645802
0.4712967,0.8616282,1.0624832,1.4826813,1.0691254
0.4535249,0.8638399,1.0696394,1.4851359,1.0584044
0.4559391,0.8644645,1.0797006,1.4865967,1.0357983
0.4590784,0.879168,1.074523,1.4950099,1.0116262
0.4590048,0.8569348,1.0754776,1.5053469,0.9985674
0.4743921,0.85432,1.0740657,1.4963208,0.9929481
0.4743992,0.8508009,1.0815979,1.5236619,0.9877852
0.4757538,0.8302395,1.0841038,1.5382155,0.9697313
0.4674273,0.8444654,1.0985811,1.5433614,0.9494385
0.4516991,0.8510751,1.0946636,1.5686827,0.9504069
0.4727032,0.8443063,1.1099437,1.5692847,0.9557195
