Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.2779734,0.5084823,0.6058487,0.5039508,0.5001948,0.4856884,0.6522283,0.7371253,0.6980031,0.5681224,0.5549542
0.2894256,0.5025775,0.6256992,0.5071989,0.5488248,0.510248,0.6360151,0.733897,0.701004,0.5649095,0.5415218
0.2974294,0.5023297,0.6097417,0.4823132,0.5438335,0.5093563,0.6216095,0.727574,0.7088907,0.5905384,0.5462252
0.3120156,0.5057358,0.6091658,0.4751655,0.5322928,0.4970887,0.6334542,0.7265136,0.709168,0.5876089,0.5238378
0.2948367,0.5248918,0.6424825,0.4643812,0.5427318,0.5098218,0.6369166,0.7523767,0.6846089,0.5771469,0.5439969
0.3046465,0.525286,0.6401543,0.4843001,0.5529815,0.5082248,0.6223536,0.7550067,0.6945578,0.5790259,0.5290371
0.2971707,0.5110064,0.6144379,0.483576,0.5322246,0.501754,0.6053008,0.7481665,0.690716,0.583661,0.5305315
0.3015926,0.5045485,0.6134512,0.4801345,0.5202724,0.5044211,0.600506,0.7430045,0.6668475,0.5709808,0.5296902
0.2783049,0.5219216,0.621761,0.485283,0.5037199,0.528433,0.6137117,0.752991,0.6661119,0.5563923,0.5259607
0.2802038,0.5087057,0.6087237,0.4784733,0.5100755,0.5354109,0.6397929,0.7490938,0.651728,0.5563973,0.5272116
0.3011517,0.4859425,0.5854704,0.4811611,0.5288521,0.5576449,0.6468049,0.7546757,0.6337419,0.5531789,0.5414924
0.3033456,0.4855998,0.5944968,0.4741949,0.5532152,0.5724428,0.6243882,0.7678717,0.6216424,0.5352286,0.5543917
0.2998635,0.4787141,0.6068499,0.4878037,0.5717179,0.6015021,0.6445609,0.7454531,0.6300003,0.5224078,0.5710973
0.3052459,0.476043,0.6298548,0.4924688,0.5600663,0.6136423,0.6632216,0.7603971,0.621689,0.5027977,0.5636867
0.3135892,0.4870825,0.6164981,0.4866905,0.5517125,0.6091937,0.6384915,0.7545663,0.6207017,0.5188527,0.5755398
0.3015547,0.4854966,0.6093106,0.4939197,0.5503255,0.6017949,0.6395146,0.7436109,0.5995235,0.5174541,0.5605299
0.305393,0.4978165,0.6237577,0.5207593,0.5484765,0.6121486,0.6282841,0.7580486,0.6059495,0.5326326,0.5381804
0.3042881,0.4861901,0.6364951,0.5506295,0.5681224,0.6025833,0.6544144,0.7651406,0.6167071,0.5391878,0.5860665
0.3052195,0.5067381,0.6379035,0.5585037,0.5508441,0.5926434,0.6532311,0.7378945,0.6415949,0.5273955,0.5646424
